Idade,Felicidade,ViagemNegocios,TaxaDiaria,Area,DistanciaDaEmpresa,Educacao,AreaDeEducacao,ContagemFuncionario,NumeroCadastroFuncionario,SatisfacaoFuncionario,Genero,ValorHora,EnvolvimentoEmprego,NivelEmprego,FuncaoEmprego,SatisfacaoEmprego,EstadoConjugal,Salario,TaxaMensal,NumeroDeEmpresasTrabalhadas,AcimaDe18anos,HoraExtra,PercentAumentoSalario,TaxaPerformance,SatisfacaoRelacionamento,HorasPadrao,NivelAcoesEmpresa,TotalDeAnosTranalhados,TempoDeTreino,BalancoVidaTrabalho,AnosNaEmpresa,TempoNaAtualFuncao,AnosDesdeUltimaPromocao,AnosComOmesmoGerente
41,Não,Raramente,1102,Vendas,1,2,Ciencias Financeiras,1,1,2,F,94,3,2,Executivo Vendas,4,Solteiro,5993,19479,8,Sim,Sim,11,3,1,80,0,8,0,1,6,4,0,5
49,Sim,Frequentemente,279,R&D,8,1,Ciencias Financeiras,1,2,3,M,61,2,2,Senior DEV,2,Casado,5130,24907,1,Sim,Não,23,4,4,80,1,10,3,3,10,7,1,7
37,Não,Raramente,1373,R&D,2,2,Outros,1,4,4,M,92,2,1,Pleno DEV,3,Solteiro,2090,2396,6,Sim,Sim,15,3,2,80,0,7,3,3,0,0,0,0
33,Sim,Frequentemente,1392,R&D,3,4,Ciencias Financeiras,1,5,4,F,56,3,1,Senior DEV,3,Casado,2909,23159,1,Sim,Sim,11,3,3,80,0,8,3,3,8,7,3,0
27,Sim,Raramente,591,R&D,2,1,Computacao,1,7,1,M,40,3,1,Pleno DEV,2,Casado,3468,16632,9,Sim,Não,12,3,4,80,1,6,3,3,2,2,2,2
32,Sim,Frequentemente,1005,R&D,2,2,Ciencias Financeiras,1,8,4,M,79,3,1,Pleno DEV,4,Solteiro,3068,11864,0,Sim,Não,13,3,3,80,0,8,2,2,7,7,3,6
59,Sim,Raramente,1324,R&D,3,3,Computacao,1,10,3,F,81,4,1,Pleno DEV,1,Casado,2670,9964,4,Sim,Sim,20,4,1,80,3,12,3,2,1,0,0,0
30,Sim,Raramente,1358,R&D,24,1,Ciencias Financeiras,1,11,4,M,67,3,1,Pleno DEV,3,Divorciado,2693,13335,1,Sim,Não,22,4,2,80,1,1,2,3,1,0,0,0
38,Sim,Frequentemente,216,R&D,23,3,Ciencias Financeiras,1,12,4,M,44,2,3,Diretor de Area,3,Solteiro,9526,8787,0,Sim,Não,21,4,2,80,0,10,2,3,9,7,1,8
36,Sim,Raramente,1299,R&D,27,3,Computacao,1,13,3,M,94,3,2,Analista de Negocio,3,Casado,5237,16577,6,Sim,Não,13,3,2,80,2,17,3,2,7,7,7,7
35,Sim,Raramente,809,R&D,16,3,Computacao,1,14,1,M,84,4,1,Pleno DEV,2,Casado,2426,16479,0,Sim,Não,13,3,3,80,1,6,5,3,5,4,0,3
29,Sim,Raramente,153,R&D,15,2,Ciencias Financeiras,1,15,4,F,49,2,2,Pleno DEV,3,Solteiro,4193,12682,0,Sim,Sim,12,3,4,80,0,10,3,3,9,5,0,8
31,Sim,Raramente,670,R&D,26,1,Ciencias Financeiras,1,16,1,M,31,3,1,Senior DEV,3,Divorciado,2911,15170,1,Sim,Não,17,3,4,80,1,5,1,2,5,2,4,3
34,Sim,Raramente,1346,R&D,19,2,Computacao,1,18,2,M,93,3,1,Pleno DEV,4,Divorciado,2661,8758,0,Sim,Não,11,3,3,80,1,3,2,3,2,2,1,2
28,Não,Raramente,103,R&D,24,3,Ciencias Financeiras,1,19,3,M,50,2,1,Pleno DEV,3,Solteiro,2028,12947,5,Sim,Sim,14,3,2,80,0,6,4,3,4,2,0,3
29,Sim,Raramente,1389,R&D,21,4,Ciencias Financeiras,1,20,2,F,51,4,3,Diretor de Area,1,Divorciado,9980,10195,1,Sim,Não,11,3,3,80,1,10,1,3,10,9,8,8
32,Sim,Raramente,334,R&D,5,2,Ciencias Financeiras,1,21,1,M,80,4,1,Senior DEV,2,Divorciado,3298,15053,0,Sim,Sim,12,3,4,80,2,7,5,2,6,2,0,5
22,Sim,Sem Viagens,1123,R&D,16,2,Computacao,1,22,4,M,96,4,1,Pleno DEV,4,Divorciado,2935,7324,1,Sim,Sim,13,3,2,80,2,1,2,2,1,0,0,0
53,Sim,Raramente,1219,Vendas,2,4,Ciencias Financeiras,1,23,1,F,78,2,4,Gerente,4,Casado,15427,22021,2,Sim,Não,16,3,3,80,0,31,3,3,25,8,3,7
38,Sim,Raramente,371,R&D,2,3,Ciencias Financeiras,1,24,4,M,45,3,1,Senior DEV,4,Solteiro,3944,4306,5,Sim,Sim,11,3,3,80,0,6,3,3,3,2,1,2
24,Sim,Sem Viagens,673,R&D,11,2,Outros,1,26,1,F,96,4,2,Diretor de Area,3,Divorciado,4011,8232,0,Sim,Não,18,3,4,80,1,5,5,2,4,2,1,3
36,Não,Raramente,1218,Vendas,9,4,Ciencias Financeiras,1,27,3,M,82,2,1,Representante de Vendas,1,Solteiro,3407,6986,7,Sim,Não,23,4,2,80,0,10,4,3,5,3,0,3
34,Sim,Raramente,419,R&D,7,4,Ciencias Financeiras,1,28,1,F,53,3,3,Scrum Master,2,Solteiro,11994,21293,0,Sim,Não,11,3,3,80,0,13,4,3,12,6,2,11
21,Sim,Raramente,391,R&D,15,2,Ciencias Financeiras,1,30,3,M,96,3,1,Senior DEV,4,Solteiro,1232,19281,1,Sim,Não,14,3,4,80,0,0,6,3,0,0,0,0
34,Não,Raramente,699,R&D,6,1,Computacao,1,31,2,M,83,3,1,Senior DEV,1,Solteiro,2960,17102,2,Sim,Não,11,3,3,80,0,8,2,3,4,2,1,3
53,Sim,Raramente,1282,R&D,5,3,Outros,1,32,3,F,58,3,5,Gerente,3,Divorciado,19094,10735,4,Sim,Não,11,3,4,80,1,26,3,2,14,13,4,8
32,Não,Frequentemente,1125,R&D,16,1,Ciencias Financeiras,1,33,2,F,72,1,1,Senior DEV,1,Solteiro,3919,4681,1,Sim,Sim,22,4,2,80,0,10,5,3,10,2,6,7
42,Sim,Raramente,691,Vendas,8,4,Marketing,1,35,3,M,48,3,2,Executivo Vendas,2,Casado,6825,21173,0,Sim,Não,11,3,4,80,1,10,2,3,9,7,4,2
44,Sim,Raramente,477,R&D,7,4,Computacao,1,36,1,F,42,2,3,Analista de Negocio,4,Casado,10248,2094,3,Sim,Não,14,3,4,80,1,24,4,3,22,6,5,17
46,Sim,Raramente,705,Vendas,2,4,Marketing,1,38,2,F,83,3,5,Gerente,1,Solteiro,18947,22822,3,Sim,Não,12,3,4,80,0,22,2,2,2,2,2,1
33,Sim,Raramente,924,R&D,2,3,Computacao,1,39,3,M,78,3,1,Pleno DEV,4,Solteiro,2496,6670,4,Sim,Não,11,3,4,80,0,7,3,3,1,1,0,0
44,Sim,Raramente,1459,R&D,10,4,Outros,1,40,4,M,41,3,2,Analista de Negocio,4,Casado,6465,19121,2,Sim,Sim,13,3,4,80,0,9,5,4,4,2,1,3
30,Sim,Raramente,125,R&D,9,2,Computacao,1,41,4,M,83,2,1,Pleno DEV,3,Solteiro,2206,16117,1,Sim,Não,13,3,1,80,0,10,5,3,10,0,1,8
39,Não,Raramente,895,Vendas,5,3,Engenharia,1,42,4,M,56,3,2,Representante de Vendas,4,Casado,2086,3335,3,Sim,Não,14,3,3,80,1,19,6,4,1,0,0,0
24,Não,Raramente,813,R&D,1,3,Computacao,1,45,2,M,61,3,1,Senior DEV,4,Casado,2293,3020,2,Sim,Sim,16,3,1,80,1,6,2,2,2,0,2,0
43,Sim,Raramente,1273,R&D,2,2,Computacao,1,46,4,F,72,4,1,Senior DEV,3,Divorciado,2645,21923,1,Sim,Não,12,3,4,80,2,6,3,2,5,3,1,4
50,Não,Raramente,869,Vendas,3,2,Marketing,1,47,1,M,86,2,1,Representante de Vendas,3,Casado,2683,3810,1,Sim,Sim,14,3,3,80,0,3,2,3,3,2,0,2
35,Sim,Raramente,890,Vendas,2,3,Marketing,1,49,4,F,97,3,1,Representante de Vendas,4,Casado,2014,9687,1,Sim,Não,13,3,1,80,0,2,3,3,2,2,2,2
36,Sim,Raramente,852,R&D,5,4,Ciencias Financeiras,1,51,2,F,82,2,1,Senior DEV,1,Casado,3419,13072,9,Sim,Sim,14,3,4,80,1,6,3,4,1,1,0,0
33,Sim,Frequentemente,1141,Vendas,1,3,Ciencias Financeiras,1,52,3,F,42,4,2,Executivo Vendas,1,Casado,5376,3193,2,Sim,Não,19,3,1,80,2,10,3,3,5,3,1,3
35,Sim,Raramente,464,R&D,4,2,Outros,1,53,3,M,75,3,1,Pleno DEV,4,Divorciado,1951,10910,1,Sim,Não,12,3,3,80,1,1,3,3,1,0,0,0
27,Sim,Raramente,1240,R&D,2,4,Ciencias Financeiras,1,54,4,F,33,3,1,Pleno DEV,1,Divorciado,2341,19715,1,Sim,Não,13,3,4,80,1,1,6,3,1,0,0,0
26,Não,Raramente,1357,R&D,25,3,Ciencias Financeiras,1,55,1,M,48,1,1,Pleno DEV,3,Solteiro,2293,10558,1,Sim,Não,12,3,3,80,0,1,2,2,1,0,0,1
27,Sim,Frequentemente,994,Vendas,8,3,Ciencias Financeiras,1,56,4,M,37,3,3,Executivo Vendas,3,Solteiro,8726,2975,1,Sim,Não,15,3,4,80,0,9,0,3,9,8,1,7
30,Sim,Frequentemente,721,R&D,1,2,Computacao,1,57,3,F,58,3,2,Pleno DEV,4,Solteiro,4011,10781,1,Sim,Não,23,4,4,80,0,12,2,3,12,8,3,7
41,Não,Raramente,1360,R&D,12,3,Engenharia,1,58,2,F,49,3,5,Scrum Master,3,Casado,19545,16280,1,Sim,Não,12,3,4,80,0,23,0,3,22,15,15,8
34,Sim,Sem Viagens,1065,Vendas,23,4,Marketing,1,60,2,M,72,3,2,Executivo Vendas,3,Solteiro,4568,10034,0,Sim,Não,20,4,3,80,0,10,2,3,9,5,8,7
37,Sim,Raramente,408,R&D,19,2,Ciencias Financeiras,1,61,2,M,73,3,1,Senior DEV,2,Casado,3022,10227,4,Sim,Não,21,4,1,80,0,8,1,3,1,0,0,0
46,Sim,Frequentemente,1211,Vendas,5,4,Marketing,1,62,1,M,98,3,2,Executivo Vendas,4,Solteiro,5772,20445,4,Sim,Sim,21,4,3,80,0,14,4,3,9,6,0,8
35,Sim,Raramente,1229,R&D,8,1,Ciencias Financeiras,1,63,4,M,36,4,1,Pleno DEV,4,Casado,2269,4892,1,Sim,Não,19,3,4,80,0,1,2,3,1,0,0,1
48,Não,Raramente,626,R&D,1,2,Ciencias Financeiras,1,64,1,M,98,2,3,Pleno DEV,3,Solteiro,5381,19294,9,Sim,Sim,13,3,4,80,0,23,2,3,1,0,0,0
